symbol,adtv
IBN,7713760
IBRX,2419848
ICCM,1848438
ICE,2628754
ICL,1348031
ICLR,562728
ICPT,762943
ICVX,630727
IDEX,12174523
IEP,504079
IFF,1975814
IGR,513581
IGT,1255706
IHRT,788906
ILAG,1090317
ILMN,1357827
ILPT,1235107
IMAB,519019
IMAX,694560
IMGN,3584715
IMMX,645019
IMPP,7120867
IMUX,2510052
IMVT,1168901
INBX,569599
INCY,1536165
INDI,1649269
INFI,784832
INFN,2323883
INFY,8108385
ING,4532230
INM,904229
INMD,1443483
INN,649686
INO,5140867
INPX,1945123
INSG,671797
INSM,1403143
INSW,635913
INTC,43414549
INTU,1695349
INVA,654711
INVH,3636155
INVZ,1456727
INZY,832340
IONQ,2998430
IONS,994263
IOT,2086023
IOVA,4022134
IP,3291194
IPG,3459378
IQ,17480403
IQV,1006609
IR,2489445
IRDM,627585
IREN,566119
IRM,1409902
IRNT,1538021
IRT,1987985
IRWD,1958541
ISEE,2653156
ISRG,1954869
ITCI,691694
ITUB,39175021
ITW,1107757
IVDA,590697
IVR,920907
IVZ,5092006
J,601127
JAGX,734757
JAZZ,533500
JBGS,1544251
JBHT,722358
JBL,1284907
JBLU,9637190
JCI,3784331
JD,9741165
JEF,1432609
JELD,743974
JHG,1213661
JKHY,557460
JKS,934410
JMIA,2316520
JNCE,2084719
JNJ,7328085
JNPR,3608402
JOBY,3212500
JPM,12679838
JPS,657789
JQC,530029
JSPR,2030081
JWEL,553655
JWN,5694403
JXN,1060149
JZXN,1687135
K,2175119
KALA,1538680
KAR,799581
KBH,1519960
KBR,1049628
KC,2244165
KD,1927631
KDNY,540372
KDP,7460601
KEY,15700512
KEYS,1042955
KGC,16330055
KHC,6829903
KIM,4672240
KIND,1262365
KKR,3249592
KLAC,1433824
KMB,1657007
KMI,14877672
KMT,855341
KMX,2559970
KN,860486
KNX,1963967
KO,13625362
KODK,655791
KOPN,519555
KOS,6109367
KPRX,995457
KPTI,2418769
KR,5765707
KRC,1100702
KREF,513173
KRG,1634710
KSS,4031952
KT,1007680
KTOS,840547
KULR,545156
KURA,885252
KW,980785
KYMR,645081
KZR,754328
L,847030
LAC,2355648
LADR,791569
LAMR,513404
LASE,2208944
LAUR,1352958
LAZ,764405
LAZR,9463338
LBRDK,1160168
LBRT,2772019
LBTYA,1651095
LBTYK,1858344
LC,1926137
LCID,26896234
LDOS,846092
LEA,565082
LEG,894193
LEGN,652869
LEN,2275383
LESL,3157749
LEV,1186211
LEVI,2162287
LFST,563749
LGHL,845335
LGMK,1688810
LH,706215
LHX,1279992
LI,10455565
LICN,809363
LICY,1341220
LIDR,828164
LILAK,1258772
LILM,1457205
LIN,2208321
LIPO,852731
LITE,1010666
LIXT,681534
LKQ,1547343
LL,599896
LLAP,3791408
LLY,3009365
LMND,1050005
LMT,1433318
LNC,3191557
LNG,2091494
LNT,1605359
LNTH,1228736
LNW,527573
LODE,758654
LOGI,694398
LOW,3255571
LPG,599921
LPLA,979223
LPRO,932551
LPSN,1341837
LPTX,685358
LPX,844337
LRCX,1655002
LRN,554665
LSCC,1581493
LSI,856575
LSPD,1096001
LSXMA,960255
LSXMK,983388
LTCH,536094
LTH,571174
LTHM,3227985
LTRY,819035
LU,16851134
LUCY,1593547
LULU,1829948
LUMN,29754353
LUNG,594959
LUNR,641392
LUV,6438356
LVS,5771833
LW,1557744
LWLG,668127
LX,764990
LXP,1893461
LXU,967760
LYB,2105544
LYEL,1052223
LYFT,18322145
LYG,9775154
LYT,918099
LYV,2169447
LZ,1037309
M,9898948
MA,2834255
MAA,738560
MAC,2062891
MAG,530852
MANU,1877707
MAPS,997392
MAR,1915566
MARA,26736352
MARK,700462
MAS,1846860
MAT,3518886
MAXN,674189
MAXR,1180291
MBC,2623483
MBLY,2132428
MC,586440
MCD,2888767
MCHP,4938868
MCK,1018258
MCO,830206
MCRB,853786
MCW,1386948
MD,627274
MDB,1937331
MDC,668512
MDGL,501283
MDLZ,6270022
MDRX,1256105
MDT,6751652
MDU,921796
MDXG,527982
ME,2455323
MEGL,866857
MEIP,1201248
MELI,581120
MET,4513549
META,38788357
MFA,1488823
MFC,3591681
MFG,1379701
MGA,1178370
MGAM,1735534
MGI,1364455
MGM,4589972
MGNI,1832082
MGNX,816985
MGOL,1484945
MGTA,1516309
MGY,1858271
MHK,586285
MIDD,558330
MINM,980910
MIR,1569708
MKC,1366250
MKFG,755223
MKSI,738122
MKUL,823057
ML,790701
MLCO,4927877
MLGO,1613701
MLKN,837645
MMAT,10385463
MMC,1665908
MMM,3260428
MMP,898917
MMV,529982
MNDY,660976
MNKD,3841087
MNMD,603015
MNSO,1282488
MNST,4357434
MNTS,530265
MNTV,2642709
MO,8410832
MODG,1542004
MOH,522701
MOMO,2427051
MOS,4149316
MOTS,877878
MP,1987385
MPC,3813963
MPLN,2224789
MPLX,1748353
MPW,16208202
MPWR,630873
MQ,6133001
MRC,600110
MREO,711191
MRIN,595987
MRK,9143119
MRNA,4580710
MRO,11217910
MRSN,1164317
MRTX,1446181
MRVI,1798798
MRVL,12060345
MS,7556938
MSFT,31244533
MSGM,764654
MSI,697284
MSTR,659572
MT,2544889
MTB,1660985
MTC,701450
MTCH,4359527
MTDR,1230749
MTG,3285981
MTTR,3271424
MTZ,698166
MU,16290556
MUFG,4834371
MULN,216841539
MUR,1578031
MVIS,1923939
MVST,2399302
MWA,887045
MXL,537457
MYGN,676555
MYO,944567
NAD,840685
NAK,1167485
NAPA,537288
NARI,732195
NAT,4009767
NATI,1352346
NAVI,1049159
NBIX,810254
NCLH,16664469
NCMI,1702486
NCNO,773581
NCR,1085716
NCZ,632719
NDAQ,2255410
NE,1807133
NEA,1123767
NEE,8072817
NEGG,1221072
NEM,7807841
NEO,1191913
NEOG,3076070
NEP,615802
NEPT,575660
NET,5146811
NEWR,543915
NEX,3780052
NEXI,745950
NEXT,594327
NFE,1557476
NFG,510234
NFLX,9643094
NG,1201560
NGD,3255343
NGL,805423
NGM,658558
NI,4348115
NINE,1441652
NIO,53329496
NIU,873027
NJR,556571
NKE,7587965
NKLA,12531484
NKTR,2285549
NKTX,588637
NLY,7117503
NMR,1264873
NMRK,1002039
NNDM,2822965
NNN,1020171
NNOX,501133
NOC,1017422
NOG,1700183
NOK,20108958
NOMD,868160
NOTE,838028
NOTV,771356
NOV,3650619
NOVA,3546275
NOW,1653281
NR,621540
NRBO,2239327
NRDY,669349
NRG,3845429
NRGV,1335691
NRSN,738327
NSA,746864
NSC,1480453
NSTG,880450
NTAP,1809904
NTCO,772096
NTES,1814058
NTLA,1138602
NTNX,2074631
NTR,2162877
NTRA,1484159
NTRS,1095952
NTST,591937
NU,28036129
NUE,1883597
NUS,650189
NUTX,2725625
NUV,553426
NUVA,1005677
NUVB,694940
NVAX,6417185
NVCR,787412
NVDA,50621715
NVG,780619
NVO,1361751
NVOS,14456886
NVRO,600128
NVS,2164078
NVST,1813367
NVT,1008588
NVTA,8690711
NVTS,1359845
NWBI,768428
NWG,1633943
NWL,4565860
NWS,1000106
NWSA,2873274
NXE,2520439
NXGN,564424
NXPI,2147105
NXT,2046609
NYCB,13716021
NYMT,756967
NYT,1161271
NZF,658150
O,3811575
OABI,1083912
OBE,622915
OC,947708
OCEA,1028473
OCGN,5711632
OCUL,1081424
ODFL,850080
OFC,704647
OGE,1163444
OGI,1118939
OGN,2109032
OGS,526497
OHI,2186050
OI,1315681
OIG,1135476
OII,1198757
OIS,716095
OKE,2509938
OKTA,3342259
OLLI,1161235
OLN,1455419
OLO,1171126
OLPX,3562956
OM,537304
OMC,1715074
OMCL,598247
OMER,722548
OMF,1384347
OMI,988632
ON,6894523
ONB,1915474
ONCS,1525949
ONL,501030
ONON,2786225
OP,590365
OPAD,786791
OPCH,1221844
OPEN,24977094
OPK,2756240
OR,771686
ORAN,672200
ORC,982573
ORCC,2113045
ORCL,7690141
ORGN,998773
ORGO,947733
ORI,1641606
ORIC,568808
ORMP,1062679
OSCR,2638582
OSH,3948699
OSTK,1449608
OSUR,542079
OTEX,736655
OTIS,1929230
OTLK,529862
OTLY,4421860
OTMO,538428
OTRK,2084232
OUST,2172769
OUT,1588455
OVV,3606316
OWL,3956430
OWLT,549132
OXLC,1065450
OXY,14549803
OZK,1146927
PAA,4864261
PAAS,4196913
PACB,4618187
PACW,6185162
PAGP,2629677
PAGS,3561269
PALI,2120678
PANW,4341437
PARA,11830852
PARR,885910
PATH,6259543
PAVM,586235
PAYO,3934010
PAYX,1737727
PB,575344
PBA,675946
PBF,3236937
PBI,1518339
PBLA,992155
PBR,30999093
PBTS,12244011
PCAR,3213962
PCG,17771445
PCOR,885837
PCRX,509598
PCT,1503593
PCVX,1012124
PD,1151057
PDCE,894217
PDCO,688918
PDD,11195917
PDI,1122620
PDM,1318390
PDO,619002
PDSB,732875
PEAK,4359392
PEB,2439367
PECO,588758
PEG,2808024
PEGY,3839473
PENN,2553594
PEP,4848969
PERI,572827
PFE,21909987
PFG,1835002
PFGC,1179215
PG,6694731
PGEN,1509632
PGNY,887988
PGR,2453930
PGRE,1855480
PGY,2734781
PH,910865
PHG,2694270
PHM,2482269
PHUN,2453222
PHVS,947505
PII,595100
PINC,533911
PINS,12571161
PK,3236704
PKG,713413
PKI,847362
PL,1718876
PLAB,593739
PLAY,1079345
PLBY,1211821
PLD,3562342
PLNT,895010
PLRX,596952
PLTK,1329515
PLTR,37309366
PLUG,17314848
PLX,612534
PLYA,1459926
PM,4807194
PMT,983052
PMVP,601419
PNC,2757790
PNFP,607345
PNM,679247
PNR,1620976
PNT,674577
PNW,946056
PODD,634498
POL,767928
POR,827667
POWW,1132704
PPC,806260
PPG,1351895
PPL,5184133
PR,6915523
PRAX,1252663
PRCH,1785257
PRE,508813
PRG,592290
PRGO,1307494
PRM,1097768
PRMW,859637
PRPL,883272
PRQR,1973269
PRTA,553701
PRTS,899394
PRU,2075691
PRVA,787299
PRVB,2101054
PSA,963993
PSEC,1370668
PSNY,2846858
PSTG,4572990
PSTV,533268
PSTX,539508
PSX,3465944
PTC,732870
PTCT,685955
PTEN,2999558
PTGX,1211725
PTLO,745686
PTON,13317194
PTRA,1849069
PTY,509194
PUK,782283
PUMP,1349884
PVH,1071781
PWR,922462
PWSC,563412
